Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2020-2021,Fabinho,br BRA,DFMF,Liverpool,26,1993,30,28,2567,28.5,0,0,0,0,6,0,0.3,0.3,0.3,27,124,13
2020-2021,Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,37,35,3099,34.4,18,12,9,10,6,0,16.1,8.2,11.4,80,285,263
2020-2021,Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,24,24,2079,23.1,0,0,0,0,4,0,0.3,0.3,0.6,1,32,7
2020-2021,Fernandinho,br BRA,MF,Manchester City,35,1985,21,12,1188,13.2,0,2,0,0,6,0,0.7,0.7,1.3,31,114,5
2020-2021,Sam Field,eng ENG,MF,West Brom,22,1998,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,2,0
2020-2021,Roberto Firmino,br BRA,FW,Liverpool,28,1991,36,33,2838,31.5,9,7,0,0,2,0,11.3,11.3,5.6,66,140,222
2020-2021,John Fleck,sct SCO,MF,Sheffield Utd,28,1991,31,29,2575,28.6,0,2,0,0,4,0,0.6,0.6,2.9,54,151,62
2020-2021,Phil Foden,eng ENG,FWMF,Manchester City,20,2000,28,17,1616,18,9,5,0,0,0,0,5,5,3.6,81,69,213
2020-2021,Wesley Fofana,fr FRA,DF,Leicester City,19,2000,28,27,2262,25.1,0,0,0,0,7,0,1,1,0.3,37,93,8
2020-2021,Pablo Fornals,es ESP,FWMF,West Ham,24,1996,33,31,2572,28.6,5,4,0,0,3,0,6,6,2.3,59,134,142
2020-2021,Fraser Forster,eng ENG,GK,Southampton,32,1988,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,1,1,80,0.9,0,0,0,0,1,0,0,0,0.3,2,5,13
2020-2021,Tyrese Francois,au AUS,DF,Fulham,20,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0,2,1,2
2020-2021,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,26,1994,18,9,928,10.3,0,2,0,0,2,1,0.9,0.9,2,21,18,71
2020-2021,Fred,br BRA,MF,Manchester Utd,27,1993,30,27,2390,26.6,1,0,0,0,5,0,1.8,1.8,1.9,31,189,33
2020-2021,Ryan Fredericks,eng ENG,DFFW,West Ham,27,1992,14,6,569,6.3,1,1,0,0,2,0,0.3,0.3,1.2,11,20,39
2020-2021,Christian Fuchs,at AUT,DF,Leicester City,34,1986,9,8,702,7.8,0,0,0,0,4,0,0.1,0.1,0,2,39,7
2020-2021,Darnell Furlong,eng ENG,DF,West Brom,24,1995,35,32,2932,32.6,1,3,0,0,5,0,2,2,1.9,44,78,104
2020-2021,Conor Gallagher,eng ENG,MF,West Brom,20,2000,30,28,2531,28.1,2,2,0,0,11,0,1.5,1.5,1.8,32,97,59
2020-2021,Eric García,es ESP,DF,Manchester City,19,2001,6,3,383,4.3,0,0,0,0,0,0,0.1,0.1,0,8,22,0
2020-2021,Dwight Gayle,eng ENG,FWMF,Newcastle Utd,29,1990,18,4,514,5.7,1,1,0,0,0,0,2.9,2.9,0.3,3,6,30
2020-2021,Jean-Philippe Gbamin,ci CIV,MF,Everton,24,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,2,0
2020-2021,David de Gea,es ESP,GK,Manchester Utd,29,1990,26,26,2295,25.5,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,Anwar El Ghazi,nl NED,FW,Aston Villa,25,1995,28,17,1613,17.9,10,0,4,4,2,0,8.4,5.3,1.8,50,47,163
2020-2021,Kieran Gibbs,eng ENG,DF,West Brom,30,1989,10,9,809,9,0,0,0,0,1,1,0.1,0.1,0.4,11,19,17
2020-2021,Morgan Gibbs-White,eng ENG,MFFW,Wolves,20,2000,11,4,414,4.6,1,0,0,0,1,0,0.8,0.8,0.4,15,28,27
2020-2021,Billy Gilmour,sct SCO,MF,Chelsea,19,2001,5,3,261,2.9,0,0,0,0,0,0,0.1,0.1,0.2,3,18,1
2020-2021,Olivier Giroud,fr FRA,FW,Chelsea,33,1986,17,8,748,8.3,4,0,0,0,1,0,4.2,4.2,1.1,0,5,40
2020-2021,Ben Godfrey,eng ENG,DF,Everton,22,1998,31,29,2685,29.8,0,2,0,0,4,0,1,1,0.8,46,63,10
2020-2021,André Gomes,pt POR,MF,Everton,27,1993,28,17,1570,17.4,0,1,0,0,3,0,0.5,0.5,1,30,103,28
2020-2021,Joe Gomez,eng ENG,DF,Liverpool,23,1997,7,6,590,6.6,0,0,0,0,0,0,0,0,0,4,38,1
2020-2021,Anthony Gordon,eng ENG,FWMF,Everton,19,2001,3,1,88,1,0,0,0,0,0,0,0,0,0,3,2,5
2020-2021,Karlan Grant,eng ENG,FWMF,West Brom,22,1997,21,14,1127,12.5,1,0,0,0,1,0,1.8,1.8,0.2,21,13,69
2020-2021,Demarai Gray,eng ENG,FW,Leicester City,24,1996,1,0,19,0.2,0,0,0,0,0,0,0.1,0.1,0,1,0,3
2020-2021,Jack Grealish,eng ENG,FWMF,Aston Villa,24,1995,26,24,2185,24.3,6,10,0,0,6,0,4.6,4.6,7.4,172,189,212
2020-2021,Mason Greenwood,eng ENG,FW,Manchester Utd,18,2001,31,21,1822,20.2,7,2,0,0,2,0,6,6,2.2,67,52,175
2020-2021,Pascal Groß,de GER,MFDF,Brighton,29,1991,34,27,2484,27.6,3,8,3,4,3,0,4.9,1.7,5.2,57,165,168
2020-2021,Kamil Grosicki,pl POL,MFFW,West Brom,32,1988,3,2,148,1.6,0,1,0,0,0,0,0.1,0.1,0.3,7,4,12
2020-2021,Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37,37,3330,37,0,0,0,0,2,0,0,0,0,0,0,0
2020-2021,İlkay Gündoğan,de GER,MF,Manchester City,29,1990,28,23,2029,22.5,13,2,1,2,1,0,9,7.4,3.5,69,167,92
2020-2021,Antwoine Hackford,eng ENG,DF,Sheffield Utd,16,2004,1,0,11,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0
