Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2022-2023,Idrissa Gana Gueye,sn SEN,MF,Everton,33-209,1989,27,26,2094,23.3,0,1,0,0,5,0,0.3,0.3,1,24,81,15
2022-2023,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-296,2004,15,4,453,5,2,2,0,0,2,0,1.6,1.6,1,25,5,68
2022-2023,James Garner,eng ENG,MF,Everton,22-041,2001,10,2,360,4,0,1,0,0,1,0,0.2,0.2,0.1,2,15,6
2022-2023,David de Gea,es ESP,GK,Manchester Utd,32-167,1990,30,30,2700,30,0,0,0,0,0,0,0,0,0.1,0,0,0
2022-2023,Joe Gelhardt,eng ENG,FW,Leeds United,20-354,2002,15,1,212,2.4,0,2,0,0,1,0,0.8,0.8,0.5,2,6,21
2022-2023,Saman Ghoddos,ir IRN,MFDF,Brentford,29-229,1993,12,0,117,1.3,0,0,0,0,0,0,0,0,0.3,0,6,4
2022-2023,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-086,2000,2,2,180,2,0,0,0,0,1,0,0.7,0.7,0.1,4,12,12
2022-2023,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-086,2000,29,28,2433,27,3,6,0,0,3,0,3.9,3.9,7.2,59,116,135
2022-2023,Billy Gilmour,sct SCO,MF,Brighton,21-316,2001,7,2,163,1.8,0,0,0,0,1,0,0.2,0.2,0.1,3,17,3
2022-2023,Degnand Gnonto,it ITA,FWMF,Leeds United,19-169,2003,19,12,1120,12.4,2,3,0,0,5,0,1.4,1.4,1.5,59,30,121
2022-2023,Ben Godfrey,eng ENG,DF,Everton,25-098,1998,12,9,713,7.9,0,1,0,0,2,0,1.2,1.2,0.2,7,14,6
2022-2023,João Gomes,br BRA,MF,Wolves,22-070,2001,7,4,411,4.6,1,0,0,0,4,0,0.2,0.2,0.1,6,13,8
2022-2023,Toti Gomes,pt POR,DF,Wolves,24-097,1999,11,7,663,7.4,0,0,0,0,4,0,0.1,0.1,0.2,2,20,15
2022-2023,Joe Gomez,eng ENG,DF,Liverpool,25-335,1997,20,14,1376,15.3,0,0,0,0,3,0,0.2,0.2,0.2,15,103,4
2022-2023,Sergio Gómez,es ESP,DFMF,Manchester City,22-231,2000,8,0,174,1.9,0,1,0,0,0,0,0.3,0.3,0.4,3,10,15
2022-2023,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-058,2001,8,2,314,3.5,0,0,0,0,1,0,0.4,0.4,0.8,10,10,24
2022-2023,Anthony Gordon,eng ENG,FW,Everton,22-058,2001,16,12,1095,12.2,3,0,0,0,6,0,3.3,3.3,0.6,28,19,67
2022-2023,Demarai Gray,eng ENG,FWMF,Everton,26-299,1996,30,26,2359,26.2,4,1,2,2,3,0,5.6,4,3.7,87,45,185
2022-2023,Jack Grealish,eng ENG,FWMF,Manchester City,27-225,1995,24,20,1776,19.7,5,6,0,0,2,0,4.2,4.2,5.8,127,83,265
2022-2023,Sam Greenwood,eng ENG,MFFW,Leeds United,21-087,2002,15,2,339,3.8,1,2,0,0,1,0,0.6,0.6,1.1,7,13,7
2022-2023,Pascal Groß,de GER,MFDF,Brighton,31-312,1991,29,29,2541,28.2,6,6,0,0,3,0,4.4,4.4,8.8,47,204,168
2022-2023,Vicente Guaita,es ESP,GK,Crystal Palace,36-103,1987,27,27,2430,27,0,0,0,0,1,0,0,0,0,0,1,0
2022-2023,Gonçalo Guedes,pt POR,FWMF,Wolves,26-145,1996,13,8,707,7.9,1,1,0,0,1,0,1.2,1.2,0.5,20,16,54
2022-2023,Marc Guéhi,eng ENG,DF,Crystal Palace,22-284,2000,31,31,2789,31,1,0,0,0,8,0,0.9,0.9,0.3,12,89,2
2022-2023,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-158,1997,24,24,2027,22.5,3,4,0,0,4,0,1.6,1.6,2.9,27,148,27
2022-2023,İlkay Gündoğan,de GER,MF,Manchester City,32-181,1990,26,22,1936,21.5,4,3,0,0,0,0,5.8,5.8,2.8,44,138,117
2022-2023,Darko Gyabi,eng ENG,FW,Leeds United,19-064,2004,1,0,8,0.1,0,0,0,0,0,0,0.1,0.1,0,0,2,0
2022-2023,Erling Haaland,no NOR,FW,Manchester City,22-276,2000,28,27,2225,24.7,32,5,6,6,5,0,22.4,17.9,3.9,23,42,121
2022-2023,Lewis Hall,eng ENG,DFMF,Chelsea,18-227,2004,5,4,304,3.4,0,0,0,0,1,0,0.5,0.5,0.3,10,9,19
2022-2023,Luke Harris,wls WAL,MFFW,Fulham,18-020,2005,3,0,13,0.1,0,0,0,0,0,0,0,0,0,0,1,0
2022-2023,Jack Harrison,eng ENG,FWMF,Leeds United,26-154,1996,30,28,2252,25,4,6,0,0,2,0,4.3,4.3,3.8,88,83,216
2022-2023,Kai Havertz,de GER,FWMF,Chelsea,23-316,1999,29,26,2218,24.6,7,1,1,1,4,0,10.4,9.6,3.4,50,73,190
2022-2023,Jan Paul van Hecke,nl NED,DF,Brighton,22-319,2000,4,1,87,1,0,0,0,0,0,0,0.6,0.6,0,3,10,0
2022-2023,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-087,1996,21,9,800,8.9,2,1,0,0,1,0,1.5,1.5,1,18,22,42
2022-2023,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-042,1997,18,18,1620,18,0,0,0,0,2,0,0,0,0,0,0,0
2022-2023,Jordan Henderson,eng ENG,MF,Liverpool,32-310,1990,28,19,1702,18.9,0,2,0,0,2,0,1.2,1.2,1.9,26,154,58
2022-2023,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-089,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Rico Henry,eng ENG,DF,Brentford,25-289,1997,31,31,2749,30.5,0,2,0,0,0,0,1.5,1.5,2.4,39,90,97
2022-2023,Son Heung-min,kr KOR,MFFW,Tottenham,30-289,1992,29,26,2287,25.4,8,4,0,0,1,0,7.2,7.2,5.2,70,66,161
2022-2023,Aaron Hickey,sct SCO,DF,Brentford,20-317,2002,20,18,1497,16.6,0,0,0,0,6,0,0.3,0.3,0.2,30,63,36
2022-2023,Joseph Hodge,ie IRL,MF,Wolves,20-221,2002,5,1,169,1.9,0,0,0,0,1,0,0.1,0.1,0.1,1,7,4
2022-2023,Rob Holding,eng ENG,DF,Arsenal,27-215,1995,12,5,470,5.2,0,0,0,0,0,0,0.2,0.2,0,3,22,2
2022-2023,Mason Holgate,eng ENG,DF,Everton,26-183,1996,6,4,444,4.9,0,0,0,0,3,1,0.3,0.3,0.3,4,12,4
2022-2023,Will Hughes,eng ENG,MF,Crystal Palace,28-006,1995,22,3,482,5.4,0,1,0,0,4,0,0.2,0.2,0.7,8,20,14
2022-2023,Omari Hutchinson,eng ENG,FW,Chelsea,19-175,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,1,0,1
2022-2023,Pierre Højbjerg,dk DEN,MF,Tottenham,27-261,1995,30,30,2681,29.8,4,4,0,0,4,0,1.7,1.7,2.6,38,215,62
2022-2023,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-202,1996,25,8,925,10.3,5,4,1,1,0,0,6.6,5.8,3,29,23,83
2022-2023,Danny Ings,eng ENG,FW,West Ham,30-274,1992,10,5,482,5.4,2,0,0,0,0,0,2.2,2.2,0.2,6,6,21
2022-2023,Danny Ings,eng ENG,FW,Aston Villa,30-274,1992,18,8,824,9.2,6,0,2,2,3,0,5.3,3.8,1.2,15,12,46
2022-2023,Alexander Isak,se SWE,FW,Newcastle Utd,23-214,1999,14,10,905,10.1,8,0,2,2,2,0,6.4,4.9,0.9,17,18,69
2022-2023,Daniel Iversen,dk DEN,GK,Leicester City,25-278,1997,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Alex Iwobi,ng NGA,MFFW,Everton,26-355,1996,32,32,2838,31.5,1,6,0,0,2,0,2,2,4.5,65,165,117
2022-2023,Daniel James,wls WAL,FW,Leeds United,25-164,1997,4,2,198,2.2,0,0,0,0,0,0,0.3,0.3,0.3,6,3,9
2022-2023,Daniel James,wls WAL,FW,Fulham,25-164,1997,16,4,493,5.5,2,1,0,0,0,0,1.7,1.7,0.6,18,14,38
2022-2023,Reece James,eng ENG,DFMF,Chelsea,23-136,1999,16,14,1244,13.8,1,1,0,0,4,0,1,1,3,52,90,115
2022-2023,Vitaly Janelt,de GER,MFDF,Brentford,24-348,1998,29,18,1698,18.9,3,1,0,0,2,0,2.2,2.2,1.1,12,65,24
2022-2023,Pontus Jansson,se SWE,DF,Brentford,32-069,1991,12,9,724,8,1,0,0,0,0,0,0.3,0.3,0,1,14,0
2022-2023,Mathias Jensen,dk DEN,MF,Brentford,27-112,1996,32,32,2451,27.2,5,5,0,0,4,0,2.1,2.1,3.5,21,116,70
2022-2023,Gabriel Jesus,br BRA,FW,Arsenal,26-020,1997,20,18,1553,17.3,9,5,1,1,5,0,12.9,12.1,3,34,48,149
2022-2023,Raúl Jiménez,mx MEX,FW,Wolves,31-353,1991,13,7,743,8.3,0,1,0,0,0,0,2.6,2.6,1.7,5,13,44
2022-2023,Joelinton,br BRA,MFFW,Newcastle Utd,26-252,1996,26,24,2132,23.7,4,1,0,0,11,0,5.1,5.1,1.9,47,101,122
2022-2023,Ben Johnson,eng ENG,DF,West Ham,23-089,2000,13,8,744,8.3,0,0,0,0,0,0,0,0,0.2,12,36,17
2022-2023,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-335,2001,32,29,2592,28.8,8,2,1,2,6,0,7.6,6,2.9,80,30,145
2022-2023,Sam Johnstone,eng ENG,GK,Crystal Palace,30-029,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Curtis Jones,eng ENG,MF,Liverpool,22-083,2001,11,5,502,5.6,0,1,0,0,2,0,0.2,0.2,0.8,14,34,32
2022-2023,Jorginho,it ITA,MF,Arsenal,31-124,1991,8,4,410,4.6,0,0,0,0,0,0,0.1,0.1,0.1,8,58,7
2022-2023,Jorginho,it ITA,MF,Chelsea,31-124,1991,18,15,1279,14.2,2,0,2,2,4,0,1.7,0.1,0.4,13,80,10
2022-2023,Mateo Joseph,eng ENG,FWMF,Leeds United,19-186,2003,3,0,26,0.3,0,0,0,0,0,0,0.1,0.1,0,0,0,2
2022-2023,Diogo Jota,pt POR,FWMF,Liverpool,26-140,1996,15,9,830,9.2,4,4,0,0,1,0,4.3,4.3,2,24,24,72
2022-2023,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-066,2000,7,5,427,4.7,0,0,0,0,0,0,0.9,0.9,1.1,19,26,21
2022-2023,James Justin,eng ENG,DF,Leicester City,25-059,1998,14,14,1252,13.9,0,0,0,0,0,0,0.3,0.3,0.3,20,47,50
2022-2023,Mathias Jørgensen,dk DEN,DF,Brentford,33-000,1990,14,8,820,9.1,0,0,0,0,1,0,0.5,0.5,0.1,1,26,1
2022-2023,Sasa Kalajdzic,at AUT,FW,Wolves,25-290,1997,1,1,45,0.5,0,0,0,0,0,0,0.3,0.3,0,0,0,1
2022-2023,Boubacar Kamara,fr FRA,MF,Aston Villa,23-151,1999,20,19,1569,17.4,0,1,0,0,4,0,0.2,0.2,0.8,14,80,8
2022-2023,Harry Kane,eng ENG,FW,Tottenham,29-269,1993,31,31,2775,30.8,23,2,4,5,5,0,18,14.1,4.8,50,144,170
2022-2023,N'Golo Kanté,fr FRA,MF,Chelsea,32-025,1991,4,3,276,3.1,0,0,0,0,0,0,0.2,0.2,1.2,12,19,13
2022-2023,Michael Keane,eng ENG,DF,Everton,30-102,1993,9,8,743,8.3,1,1,0,0,0,0,0.9,0.9,0.3,1,17,1
2022-2023,Neeskens Kebano,cd COD,FW,Fulham,31-044,1992,13,9,714,7.9,0,3,0,0,0,0,0.5,0.5,1.4,37,21,63
2022-2023,Thilo Kehrer,de GER,DF,West Ham,26-214,1996,22,22,1907,21.2,0,2,0,0,4,0,0.4,0.4,0.5,15,51,28
2022-2023,Naby Keïta,gn GUI,MF,Liverpool,28-072,1995,8,3,293,3.3,0,0,0,0,1,0,0.6,0.6,0.7,5,15,21
2022-2023,Lloyd Kelly,eng ENG,DF,Bournemouth,24-199,1998,16,16,1440,16,0,2,0,0,3,0,0.2,0.2,0.2,7,30,1
2022-2023,Max Kilman,eng ENG,DF,Wolves,25-335,1997,32,32,2880,32,0,0,0,0,3,0,1.1,1.1,0.1,27,116,4
2022-2023,Jakub Kiwior,pl POL,DF,Arsenal,23-067,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Mateusz Klich,pl POL,MFFW,Leeds United,32-314,1990,14,0,280,3.1,0,0,0,0,2,0,0.2,0.2,0.2,5,16,21
2022-2023,Robin Koch,de GER,DF,Leeds United,26-280,1996,31,31,2725,30.3,0,0,0,0,6,0,0.9,0.9,0.1,10,94,5
2022-2023,Ibrahima Konaté,fr FRA,DF,Liverpool,23-333,1999,13,12,1102,12.2,0,0,0,0,1,0,1.1,1.1,0.1,7,42,4
2022-2023,Ezri Konsa,eng ENG,DF,Aston Villa,25-182,1997,32,31,2782,30.9,0,0,0,0,5,0,0.8,0.8,1.3,7,45,10
2022-2023,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-307,1991,22,20,1790,19.9,2,1,0,0,7,1,0.9,0.9,0.4,10,81,4
2022-2023,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-123,1989,15,10,767,8.5,1,0,0,0,3,0,0.4,0.4,0.7,6,17,12
2022-2023,Mateo Kovačić,hr CRO,MF,Chelsea,28-352,1994,23,14,1462,16.2,1,1,0,0,7,0,1.8,1.8,1.8,31,137,26
2022-2023,Emil Krafth,se SWE,DF,Newcastle Utd,28-264,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Dejan Kulusevski,se SWE,MFFW,Tottenham,22-363,2000,23,19,1720,19.1,2,6,0,0,1,0,2,2,4,75,55,172
2022-2023,Layvin Kurzawa,fr FRA,DF,Fulham,30-231,1992,3,2,135,1.5,0,0,0,0,1,0,0,0,0,1,2,2
2022-2023,Adam Lallana,eng ENG,MFFW,Brighton,34-348,1988,16,12,722,8,2,1,0,0,0,0,0.9,0.9,1,10,33,43
2022-2023,Tariq Lamptey,gh GHA,DF,Brighton,22-205,2000,20,3,453,5,0,0,0,0,1,0,0.2,0.2,0.2,28,26,58
2022-2023,Manuel Lanzini,ar ARG,MFFW,West Ham,30-067,1993,7,1,150,1.7,0,0,0,0,0,0,0.1,0.1,0,2,14,4
2022-2023,Aymeric Laporte,es ESP,DF,Manchester City,28-331,1994,8,7,646,7.2,0,0,0,0,0,0,0.4,0.4,0.2,21,59,10
2022-2023,Juan Larios,es ESP,DF,Southampton,19-101,2004,5,2,152,1.7,0,0,0,0,0,0,0,0,0,10,4,1
2022-2023,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-163,1993,6,2,201,2.2,0,0,0,0,4,0,0.1,0.1,0,0,3,0
2022-2023,Roméo Lavia,be BEL,MF,Southampton,19-107,2004,23,20,1716,19.1,1,0,0,0,7,0,0.3,0.3,0.5,17,84,12
2022-2023,Dexter Lembikisa,jm JAM,DF,Wolves,19-170,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,2,3,3
2022-2023,Mario Lemina,ga GAB,MF,Wolves,29-234,1993,13,12,848,9.4,0,1,0,0,4,1,0.2,0.2,0.3,4,32,7
2022-2023,Clément Lenglet,fr FRA,DF,Tottenham,27-310,1995,21,19,1572,17.5,0,2,0,0,3,0,0.8,0.8,0.6,23,67,7
2022-2023,Bernd Leno,de GER,GK,Fulham,31-050,1992,29,29,2610,29,0,0,0,0,3,0,0,0,0,0,0,0
2022-2023,Jefferson Lerma,co COL,MF,Bournemouth,28-180,1994,30,30,2638,29.3,3,0,0,0,5,0,2.1,2.1,1.7,16,108,22
2022-2023,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-088,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,1,1
2022-2023,Rico Lewis,eng ENG,DFMF,Manchester City,18-153,2004,10,6,543,6,0,0,0,0,1,0,0.1,0.1,0.8,18,31,14
2022-2023,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-060,2001,10,3,321,3.6,0,1,0,0,0,0,0.5,0.5,1.2,8,6,39
2022-2023,Victor Lindelöf,se SWE,DF,Manchester Utd,28-280,1994,12,6,645,7.2,0,0,0,0,0,0,0.1,0.1,0,2,19,0
2022-2023,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-129,1992,17,12,923,10.3,0,0,0,0,1,0,1,1,0.7,11,33,38
2022-2023,Diego Llorente,es ESP,DF,Leeds United,29-250,1993,8,7,649,7.2,0,0,0,0,1,0,0.7,0.7,0,2,27,1
2022-2023,Hugo Lloris,fr FRA,GK,Tottenham,36-118,1986,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Renan Lodi,br BRA,DF,Nott'ham Forest,25-015,1998,22,20,1729,19.2,0,0,0,0,5,0,0.8,0.8,0.6,23,25,58
2022-2023,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-090,1996,20,17,1314,14.6,0,0,0,0,1,0,0.8,0.8,1.3,44,73,78
2022-2023,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-175,1997,30,25,2265,25.2,1,3,0,0,2,0,3.1,3.1,2.9,21,109,97
2022-2023,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-276,1994,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,1,0
2022-2023,Douglas Luiz,br BRA,MF,Aston Villa,24-349,1998,31,27,2396,26.6,4,5,0,0,5,1,2.3,2.3,3.2,38,122,28
2022-2023,Saša Lukić,rs SRB,MF,Fulham,26-253,1996,7,2,234,2.6,0,0,0,0,1,0,0.1,0.1,0,5,9,5
2022-2023,Lyanco,br BRA,DF,Southampton,26-081,1997,15,7,743,8.3,0,0,0,0,4,0,0.3,0.3,0.1,5,21,2
2022-2023,Alexis Mac Allister,ar ARG,MF,Brighton,24-120,1998,26,25,2246,25,8,1,5,5,7,0,9.5,5.6,2.8,48,129,59
2022-2023,James Maddison,eng ENG,MFFW,Leicester City,26-151,1996,24,23,1985,22.1,9,6,0,0,8,0,5,5,6.8,55,123,114
2022-2023,Noni Madueke,eng ENG,FWDF,Chelsea,21-044,2002,5,2,216,2.4,0,0,0,0,0,0,0.1,0.1,0.3,10,10,31
2022-2023,Harry Maguire,eng ENG,DF,Manchester Utd,30-049,1993,13,7,662,7.4,0,0,0,0,4,0,0.3,0.3,0,8,24,4
2022-2023,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-061,1991,22,15,1296,14.4,5,5,1,1,2,0,5.2,4.4,4.9,57,60,179
2022-2023,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-004,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0,2,1,1
2022-2023,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-237,1997,18,11,1160,12.9,0,0,0,0,3,0,0,0,0.6,11,45,21
2022-2023,Tyrell Malacia,nl NED,DF,Manchester Utd,23-249,1999,17,11,1064,11.8,0,0,0,0,3,0,0.2,0.2,0.3,18,30,26
2022-2023,Orel Mangala,be BEL,MF,Nott'ham Forest,25-036,1998,21,14,1039,11.5,1,0,0,0,3,0,0.6,0.6,0.1,11,32,7
2022-2023,Javier Manquillo,es ESP,DF,Newcastle Utd,28-353,1994,2,0,15,0.2,0,0,0,0,0,0,0,0,0,2,1,1
2022-2023,Sekou Mara,fr FRA,FWMF,Southampton,20-267,2002,21,4,526,5.8,1,2,0,0,1,0,1,1,0.8,7,7,26
2022-2023,Solly March,eng ENG,FWDF,Brighton,28-277,1994,29,29,2510,27.9,7,7,0,0,2,0,7.6,7.6,7.5,101,128,323
2022-2023,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-045,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,1,0
2022-2023,Marquinhos,br BRA,MF,Arsenal,20-016,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Anthony Martial,fr FRA,FW,Manchester Utd,27-139,1995,13,7,609,6.8,4,2,1,1,0,0,4.2,3.4,1.1,9,20,41
2022-2023,Martinelli,br BRA,FW,Arsenal,21-309,2001,32,31,2600,28.9,15,5,0,0,3,0,8.9,8.9,8.7,119,90,334
2022-2023,Emiliano Martínez,ar ARG,GK,Aston Villa,30-233,1992,30,30,2599,28.9,0,0,0,0,5,0,0,0,0.3,0,0,0
2022-2023,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-095,1998,27,24,2114,23.5,1,0,0,0,6,0,0.5,0.5,0.3,12,83,2
2022-2023,Pape Matar Sarr,sn SEN,MF,Tottenham,20-221,2002,8,1,147,1.6,0,0,0,0,1,0,0.1,0.1,0,1,11,0
2022-2023,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-299,1997,26,6,733,8.1,2,0,0,0,3,0,3.2,3.2,0.6,7,6,38
2022-2023,Joël Matip,cm CMR,DF,Liverpool,31-258,1991,12,10,912,10.1,0,0,0,0,3,0,0.1,0.1,0.3,26,47,1
2022-2023,Neal Maupay,fr FRA,FW,Everton,26-252,1996,23,11,1042,11.6,1,0,0,0,3,0,4.3,4.3,0.6,7,9,57
2022-2023,Kevin Mbabu,ch SUI,DFFW,Fulham,28-004,1995,6,1,144,1.6,0,1,0,0,1,0,0,0,0.4,4,8,11
2022-2023,Bryan Mbeumo,cm CMR,FW,Brentford,23-259,1999,32,31,2429,27,5,6,1,1,4,0,7.6,6.8,6.1,55,76,199
2022-2023,James McArthur,sct SCO,MF,Crystal Palace,35-198,1987,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,John McGinn,sct SCO,MFFW,Aston Villa,28-187,1994,28,24,2153,23.9,1,2,0,0,5,0,2,2,2.1,25,108,57
2022-2023,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-162,1996,20,19,1571,17.5,0,0,0,0,4,0,0.1,0.1,1,5,35,2
2022-2023,Weston McKennie,us USA,MF,Leeds United,24-238,1998,13,10,955,10.6,0,0,0,0,6,0,0.4,0.4,0.3,9,59,17
2022-2023,Dwight McNeil,eng ENG,FWMF,Everton,23-152,1999,30,22,1958,21.8,4,2,0,0,5,0,1.6,1.6,4.2,61,55,107
2022-2023,Scott McTominay,sct SCO,MF,Manchester Utd,26-136,1996,21,10,1126,12.5,1,0,0,0,7,0,1.3,1.3,0.5,19,30,19
2022-2023,Ben Mee,eng ENG,DF,Brentford,33-214,1989,31,31,2729,30.3,3,0,0,0,2,0,1.9,1.9,0.3,7,67,13
2022-2023,Edouard Mendy,sn SEN,GK,Chelsea,31-053,1992,9,8,765,8.5,0,0,0,0,1,0,0,0,0,0,0,0
2022-2023,Nampalys Mendy,sn SEN,MF,Leicester City,30-304,1992,17,7,735,8.2,1,0,0,0,1,0,0.1,0.1,0,2,28,4
2022-2023,Chris Mepham,wls WAL,DF,Bournemouth,25-169,1997,23,21,1929,21.4,0,0,0,0,7,0,0.6,0.6,0.2,1,34,1
2022-2023,Illan Meslier,fr FRA,GK,Leeds United,23-052,2000,32,32,2880,32,0,0,0,0,3,0,0.1,0.1,0,0,0,0
2022-2023,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-012,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,1
2022-2023,Luka Milivojević,rs SRB,MF,Crystal Palace,32-016,1991,16,4,447,5,0,0,0,0,1,0,0.3,0.3,0.2,2,20,2
2022-2023,James Milner,eng ENG,MFDF,Liverpool,37-109,1986,24,6,759,8.4,0,1,0,0,1,0,0.4,0.4,0.8,17,56,68
2022-2023,Yerry Mina,co COL,DF,Everton,28-212,1994,3,3,234,2.6,1,0,0,0,1,0,0.2,0.2,0,1,7,1
2022-2023,Tyrone Mings,eng ENG,DF,Aston Villa,30-041,1993,29,29,2610,29,0,2,0,0,4,0,0.5,0.5,1.4,13,86,6
2022-2023,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-234,1999,30,28,2351,26.1,0,2,0,0,5,1,0.6,0.6,1,19,82,68
2022-2023,Kaoru Mitoma,jp JPN,FW,Brighton,25-338,1997,24,17,1629,18.1,7,4,0,0,0,0,4.3,4.3,4.8,99,72,181
2022-2023,Aleksandar Mitrović,rs SRB,FW,Fulham,28-219,1994,21,21,1813,20.1,11,1,3,6,6,0,12.3,7.6,2.1,19,41,91
2022-2023,Kieffer Moore,wls WAL,FW,Bournemouth,30-258,1992,21,12,1120,12.4,4,0,0,0,0,0,3.2,3.2,0.3,10,20,44
2022-2023,Andrew Moran,ie IRL,FW,Brighton,19-190,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,1
2022-2023,Álex Moreno,es ESP,DF,Aston Villa,29-319,1993,14,10,993,11,0,3,0,0,3,0,0.5,0.5,2.3,48,20,89
2022-2023,Mason Mount,eng ENG,MFFW,Chelsea,24-103,1999,24,20,1648,18.3,3,2,0,0,4,0,2,2,3,48,98,114
2022-2023,Lucas Moura,br BRA,MFDF,Tottenham,30-253,1992,12,0,126,1.4,0,0,0,0,0,1,0.1,0.1,0.3,3,9,11
2022-2023,João Moutinho,pt POR,MF,Wolves,36-227,1986,30,20,1779,19.8,0,2,0,0,3,0,1.3,1.3,2.6,23,132,32
2022-2023,Divin Mubama,eng ENG,FW,West Ham,18-180,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Mykhailo Mudryk,ua UKR,FWMF,Chelsea,22-108,2001,10,5,445,4.9,0,2,0,0,0,0,1.2,1.2,0.2,14,11,21
2022-2023,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-058,1995,30,11,995,11.1,1,2,0,0,0,0,1.6,1.6,2.5,53,50,114
2022-2023,Enock Mwepu,zm ZAM,FWMF,Brighton,25-112,1998,6,2,213,2.4,0,1,0,0,0,0,0.2,0.2,0.5,5,6,17
2022-2023,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-329,1999,31,27,2385,26.5,0,0,0,0,4,0,0.5,0.5,1.2,30,95,69
2022-2023,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-129,1986,12,12,1080,12,0,0,0,0,1,0,0,0,0,0,1,0
2022-2023,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-128,1996,23,16,1440,16,0,0,0,0,4,0,0.2,0.2,0.1,9,46,6
2022-2023,Reiss Nelson,eng ENG,FW,Arsenal,23-134,1999,6,0,118,1.3,3,2,0,0,0,0,0.8,0.8,0.6,13,3,26
2022-2023,Neto,br BRA,GK,Bournemouth,33-278,1989,21,21,1845,20.5,0,0,0,0,4,0,0,0,0,0,0,0
2022-2023,Pedro Neto,pt POR,FWMF,Wolves,23-045,2000,14,10,753,8.4,0,0,0,0,1,0,1,1,1.4,32,20,97
2022-2023,Rúben Neves,pt POR,MF,Wolves,26-041,1997,29,28,2527,28.1,5,0,2,2,10,0,4.3,2.7,1.1,26,194,15
2022-2023,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-046,1996,8,8,700,7.8,0,0,0,0,0,0,0.3,0.3,0.1,1,7,1
2022-2023,Rasmus Nissen,dk DEN,DF,Leeds United,25-286,1997,21,16,1510,16.8,2,1,0,0,4,0,0.7,0.7,1,14,61,67
2022-2023,Eddie Nketiah,eng ENG,FW,Arsenal,23-328,1999,25,9,1021,11.3,4,1,0,0,2,0,7.4,7.4,1.2,31,15,73
2022-2023,Matheus Nunes,pt POR,MF,Wolves,24-239,1998,28,25,2044,22.7,1,1,0,0,1,1,2.1,2.1,2.2,47,71,109
